PARLAMENTARIO_ID;NOMBRE_COMPLETO;VIGENTE;FECHA_NACIMIENTO;GENERO;SITIOS_WEB;CAMARA_ACTUAL;CAMARA;INICIO;FINAL;PARTIDO_POLITICO;UNIDAD_QUE_REPRESENTA
5222;Tomas De Rementeria Venegas;1;1987-03-17;M;;C.Diputados;C. Diputados;2022;2026;;7° Distrito
2861;Sergio Bobadilla Munoz;1;1958-03-25;M;;C.Diputados;C. Diputados;2022;2026;Partido Unión Demócrata Independiente;20° Distrito
5199;Victor Pino Fuentes;1;1974-12-08;M;;C.Diputados;C. Diputados;2022;2026;Partido Demócratas Chile;5° Distrito
5259;Benjamin Moreno Bascur;1;1993-04-02;M;;C.Diputados;C. Diputados;2022;2026;Partido Republicano de Chile;17° Distrito
5227;Juan Irarrazaval Rossel;1;1983-06-23;M;;C.Diputados;C. Diputados;2022;2026;Partido Republicano de Chile;14° Distrito
4523;Leonardo Soto Ferrada;1;1966-05-15;M;;C.Diputados;C. Diputados;2022;2026;Partido Socialista de Chile;14° Distrito
4619;Jorge Soria Quiroga;1;1936-11-01;M;;Senado;Senado;2018;2026;Partido Por la Democracia;2ª Circunscripción
4608;Leonidas Romero Saez;1;1955-10-15;M;;C.Diputados;C. Diputados;2022;2026;;20º Distrito
5223;Ana Bravo Castro;1;1973-12-03;F;;C.Diputados;C. Diputados;2022;2026;Partido Socialista de Chile;24° Distrito
4528;Bernardo Berger Fett;1;1946-10-04;M;;C.Diputados;C. Diputados;2022;2026;;24° Distrito
4606;Juan Ignacio Latorre Riveros;1;1978-03-24;M;;Senado;Senado;2018;2026;Partido Frente Amplio;6ª Circunscripción
5236;Jorge Saffirio Espinoza;1;1953-06-09;M;;C.Diputados;C. Diputados;2022;2026;;22° Distrito
5191;Sebastian Videla Castillo;1;1986-04-29;M;;C.Diputados;C. Diputados;2022;2026;;3er Distrito
2717;Alejandra Sepulveda Orbenes;1;1965-11-13;F;;Senado;Senado;2022;2030;;8ª Circunscripción
4560;Boris Barrera Moreno;1;1970-05-03;M;;C.Diputados;C. Diputados;2022;2026;Partido Comunista de Chile;9º Distrito
5267;Alejandra Placencia Cabello;1;1978-02-14;F;;C.Diputados;C. Diputados;2022;2026;Partido Comunista de Chile;10° Distrito
5197;Alejandro Kusanovic Glusevic ;1;1960-12-16;M;;Senado;Senado;2022;2030;;15ª Circunscripción
3399;Juan Luis Castro Gonzalez;1;1960-04-18;M;;Senado;C. Diputados;2022;2026;Partido Social Cristiano;20º Distrito
3399;Juan Luis Castro Gonzalez;1;1980-03-07;M;;C.Diputados;C. Diputados;2022;2026;Partido Social Cristiano;20º Distrito
4594;Camila Flores Oporto;1;1987-02-09;F;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;6º Distrito
4141;Jose Miguel Insulza Salinas;1;1943-06-02;M;;Senado;Senado;2018;2026;Partido Socialista de Chile;1ª Circunscripción
4531;Vlado Mirosevic Verdugo;1;1987-05-23;M;;C.Diputados;C. Diputados;2022;2026;Partido Liberal de Chile;1er. Distrito
1925;Alfonso De Urresti Longton;1;1966-03-07;M;;Senado;Senado;2022;2030;Partido Socialista de Chile;12ª Circunscripción
279;Jose Gilberto Garcia Ruminot;1;1955-05-22;M;;Senado;Senado;2018;2026;Partido Renovación Nacional;11ª Circunscripción
4579;Sofia Cid Versalovic;1;1971-09-29;F;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;4º Distrito
4624;Juan Santana Castillo;1;1989-09-20;M;;C.Diputados;C. Diputados;2022;2026;Partido Socialista de Chile;4º Distrito
5229;Stephan Schubert Rubio;1;1977-12-19;M;;C.Diputados;C. Diputados;2022;2026;;23er Distrito
5248;Viviana Delgado Riquelme;1;1973-09-04;F;;C.Diputados;C. Diputados;2022;2026;;8° Distrito
4545;Alexis Sepulveda Soto;1;1969-12-29;M;;C.Diputados;C. Diputados;2022;2026;Partido Radical Socialdemócrata;17° Distrito
4581;Jose Miguel Castro Bascunan;1;1974-08-05;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;3er Distrito
5272;Jose Carlos Meza Pereira;1;1989-03-07;M;;C.Diputados;C. Diputados;2022;2026;Partido Republicano de Chile;9° Distrito
5242;Karen Medina Vasquez;1;1982-05-10;F;;C.Diputados;C. Diputados;2022;2026;;21° Distrito
4605;Karim Bianchi Retamales;1;1983-01-31;M;;Senado;Senado;2022;2030;;15ª Circunscripción
4634;Jose Miguel Durana Semir;1;1960-06-27;M;;Senado;Senado;2018;2026;Partido Unión Demócrata Independiente;1ª Circunscripción
4520;Karol Cariola Oliva;1;1987-04-01;F;;C.Diputados;C. Diputados;2022;2026;Partido Comunista de Chile;9° Distrito
4620;Kenneth Pugh Olavarria;1;1959-10-22;M;;Senado;Senado;2018;2026;;6ª Circunscripción
4504;Sergio Gahona Salazar;1;1965-09-15;M;;Senado;Senado;2022;2030;Unión Demócrata Independiente;5ª Circunscripción
4577;Sebastian Keitel Bianchi;1;1973-02-14;M;;Senado;Senado;2022;2030;;10ª Circunscripción
4552;Alejandro Bernales Maldonado;1;1979-02-02;M;;C.Diputados;C. Diputados;2022;2026;Partido Liberal de Chile;26º Distrito
5238;Camila Musante Muller;1;1990-02-06;F;;C.Diputados;C. Diputados;2022;2026;;14° Distrito
5245;Alberto Undurraga Vicuna;1;1969-06-17;M;;C.Diputados;C. Diputados;2022;2026;Partido Demócrata Cristiano;8° Distrito
5230;Luis Alberto Cuello Pena Y Lillo;1;1977-01-24;M;;C.Diputados;C. Diputados;2022;2026;Partido Comunista de Chile;7° Distrito
4559;Andres Longton Herrera;1;1982-05-26;M;;C.Diputados;C. Diputados;2022;2026;Partido Renovación Nacional;6º Distrito
1274;Carlos Bianchi Chelech;1;1960-11-04;M;;C.Diputados;C. Diputados;2022;2026;;28° Distrito
